2007-01-23 19:50:00,JPY,Low Impact Expected,All Industries Activity m/m,-0.2%,0.0%,1.7%
2007-01-23 20:30:00,AUD,High Impact Expected,CPI q/q,-0.1%,0.2%,0.9%
2007-01-23 20:30:00,AUD,Medium Impact Expected,Trimmed Mean CPI q/q,0.5%,0.7%,0.7%
2007-01-23 21:00:00,NZD,Low Impact Expected,Credit Card Spending y/y,10.1%,,7.8%
2007-01-24 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2007-01-24 05:30:00,GBP,High Impact Expected,MPC Official Bank Rate Votes,5-0-4,8-0-1,0-0-9
2007-01-24 05:30:00,GBP,High Impact Expected,Prelim GDP q/q,0.8%,0.7%,0.7%
2007-01-24 05:30:00,GBP,Low Impact Expected,Index of Services 3m/3m,1.0%,0.9%,1.0%
2007-01-24 06:12:00,EUR,Low Impact Expected,German 30-y Bond Auction,4.11|1.2,,4.23|1.5
2007-01-24 10:00:00,EUR,Medium Impact Expected,Belgian NBB Business Climate,2.1,2.6,2.5
2007-01-24 11:30:00,USD,Low Impact Expected,Crude Oil Inventories,0.7M,1.3M,6.8M
2007-01-24 16:00:00,NZD,High Impact Expected,Official Cash Rate,7.25%,7.25%,7.25%
2007-01-24 16:00:00,NZD,High Impact Expected,RBNZ Rate Statement,,,
2007-01-24 19:00:00,NZD,Low Impact Expected,Business NZ Manufacturing Index,54.2,,55.1
2007-01-24 19:50:00,JPY,Low Impact Expected,Trade Balance,0.66T,0.87T,0.98T
2007-01-24 22:00:00,CNY,High Impact Expected,GDP q/y,10.4%,10.2%,10.6%
2007-01-24 22:00:00,CNY,High Impact Expected,Industrial Production y/y,14.7%,15.0%,14.9%
2007-01-24 22:00:00,CNY,Medium Impact Expected,CPI y/y,2.8%,1.9%,1.9%
2007-01-24 22:00:00,CNY,Medium Impact Expected,Fixed Asset Investment ytd/y,24.5%,26.3%,26.6%
2007-01-24 22:00:00,CNY,Medium Impact Expected,NBS Press Conference,,,
2007-01-24 22:00:00,CNY,Medium Impact Expected,PPI y/y,3.1%,2.9%,2.8%
2007-01-24 22:00:00,CNY,Low Impact Expected,Retail Sales y/y,14.6%,14.3%,14.1%
2007-01-25 03:00:00,EUR,Low Impact Expected,German GfK Consumer Climate,4.8,8.6,8.5
2007-01-25 05:00:00,EUR,High Impact Expected,German Ifo Business Climate,107.9,108.9,108.7
2007-01-25 05:00:00,EUR,Low Impact Expected,Current Account,-2.0B,0.7B,1.8B
2007-01-25 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2007-01-25 06:00:00,EUR,Low Impact Expected,Italian Retail Sales m/m,0.3%,0.1%,-0.1%
2007-01-25 09:30:00,USD,Low Impact Expected,Unemployment Claims,325K,310K,289K
2007-01-25 11:00:00,USD,High Impact Expected,Existing Home Sales,6.22M,6.25M,6.27M
2007-01-25 11:30:00,USD,Low Impact Expected,Natural Gas Storage,-179B,-174B,-89B
2007-01-25 00:00:00,AUD,Non-Economic,Bank Holiday,,,
2007-01-25 19:00:00,NZD,Medium Impact Expected,RBNZ Gov Bollard Speaks,,,
2007-01-25 19:30:00,JPY,Medium Impact Expected,Tokyo Core CPI y/y,0.2%,0.2%,0.2%
2007-01-25 19:30:00,JPY,Low Impact Expected,National Core CPI y/y,0.1%,0.2%,0.2%
2007-01-25 19:50:00,JPY,Low Impact Expected,SPPI y/y,0.2%,-0.1%,-0.1%
2007-01-26 03:00:00,EUR,Low Impact Expected,German Import Prices m/m,-0.3%,0.1%,-0.4%
2007-01-26 04:00:00,EUR,Low Impact Expected,Spanish Unemployment Rate,8.3%,8.2%,8.2%
2007-01-26 05:00:00,CHF,Medium Impact Expected,UBS Consumption Indicator,1.90,,1.89
2007-01-26 05:00:00,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
2007-01-26 05:00:00,EUR,Low Impact Expected,M3 Money Supply y/y,9.7%,9.2%,9.3%
2007-01-26 05:00:00,EUR,Low Impact Expected,Private Loans y/y,10.7%,10.9%,11.2%
2007-01-26 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2007-01-26 05:30:00,GBP,Medium Impact Expected,High Street Lending,45.5K,,78.7K
2007-01-26 09:30:00,USD,High Impact Expected,Core Durable Goods Orders m/m,2.3%,0.5%,-1.0%
2007-01-26 09:30:00,USD,Medium Impact Expected,Durable Goods Orders m/m,3.1%,3.2%,2.2%
2007-01-26 11:00:00,USD,High Impact Expected,New Home Sales,1120K,1050K,1069K
2007-01-27 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2007-01-28 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2007-01-28 19:50:00,JPY,Medium Impact Expected,Retail Sales y/y,-0.3%,-0.6%,-0.2%
2007-01-28 20:30:00,AUD,Medium Impact Expected,NAB Quarterly Business Confidence,4,,2
2007-01-29 00:00:00,EUR,Low Impact Expected,Eurogroup Meetings,,,
2007-01-29 07:00:00,GBP,Medium Impact Expected,CBI Realized Sales,30,18,25
2007-01-29 17:45:00,NZD,Medium Impact Expected,Building Consents m/m,-4.9%,,-11.6%
2007-01-29 19:30:00,JPY,Low Impact Expected,Household Spending y/y,-1.9%,-1.2%,-0.7%
2007-01-29 19:30:00,JPY,Low Impact Expected,Unemployment Rate,4.1%,4.0%,4.0%
2007-01-29 19:50:00,JPY,Medium Impact Expected,Prelim Industrial Production m/m,0.7%,0.4%,0.8%
2007-01-29 20:30:00,AUD,Low Impact Expected,NAB Business Confidence,4,,6
